PERF {asctime} GET /favicon.ico 204 0.07s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /sales/sales/ 403 0.12s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.09s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.07s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /e_commerce/orders/ 200 0.09s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /static/css/main.css 404 0.12s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /static/js/main.js 404 0.12s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.09s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.11s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /sales/sales/ 403 0.08s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.10s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.08s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /sales/sales/ 403 0.08s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.11s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /accounts/login/customer/ 200 0.01s User: IP:127.0.0.1
PERF {asctime} GET /static/css/main.css 404 0.00s User: IP:127.0.0.1
PERF {asctime} GET /static/js/main.js 404 0.00s User: IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.30s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /favicon.ico 302 0.00s User: IP:127.0.0.1
PERF {asctime} GET /accounts/login/generic/ 200 0.00s User: IP:127.0.0.1
PERF {asctime} GET /accounts/logout/ 302 0.11s User: IP:127.0.0.1
PERF {asctime} GET /accounts/login/ 200 0.00s User: IP:127.0.0.1
PERF {asctime} GET /static/css/main.css 404 0.00s User: IP:127.0.0.1
PERF {asctime} GET /static/js/main.js 404 0.00s User: IP:127.0.0.1
PERF {asctime} GET /favicon.ico 302 0.00s User: IP:127.0.0.1
PERF {asctime} GET /accounts/login/generic/ 200 0.00s User: IP:127.0.0.1
PERF {asctime} GET /accounts/login/staff/ 200 0.01s User: IP:127.0.0.1
